,prob_attack_comp,prob_attack_anto,prob_attack_cybe,prob_att_mr_ddos,prob_att_mr_social,portf_num,sprk,fd,ddos_prot,secconfig,malwprot,patchvul,ids,conventional,cyber1,cyber2,cost_controls,defender_cost,defender_utility
1,0.722,0.75,0.562,0.648,0.087,146,1,1,1,0,0,0,1,0,0,1,59400,3.97888501613921,0.205300688372658
2,0.739,0.754,0.573,0.678,0.066,81,1,1,1,0,1,0,0,1,0,1,36400,4.08504628219996,0.198516115024608
3,0.742,0.717,0.585,0.68,0.067,171,0,1,1,1,0,1,0,0,0,1,31400,4.12280918164155,0.191511825409572
4,0.731,0.749,0.555,0.65,0.067,181,0,0,1,0,0,1,0,0,0,1,25600,3.91442165630881,0.188621551927361
5,0.746,0.716,0.585,0.672,0.076,92,0,0,1,1,0,0,0,1,0,1,28000,4.20414882118736,0.184861855955553
6,0.73,0.746,0.594,0.667,0.081,203,0,1,1,1,0,0,0,0,0,1,29800,4.2012152966086,0.182397389792466
7,0.715,0.736,0.579,0.659,0.079,148,1,0,1,0,0,0,1,0,0,1,54600,4.28970863387776,0.179222182664262
8,0.737,0.726,0.615,0.663,0.091,90,0,1,1,1,0,0,0,1,0,1,32800,4.27612064259054,0.178855292384089
9,0.748,0.722,0.542,0.652,0.069,29,1,0,1,1,0,0,1,1,0,1,58600,4.02350909996872,0.172961519997774
10,0.735,0.756,0.582,0.638,0.097,74,0,1,1,1,1,0,0,1,0,1,36800,4.12158447147046,0.171303450951866
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,1,1,1,0,0,0,1,Cyber2,59400,3.97888501613921,0.205300688372658,,,,,,,
,,1,1,1,0,1,0,0,Conventional+Cyber2,36400,4.08504628219996,0.198516115024608,,,,,,,
,,0,1,1,1,0,1,0,Cyber2,31400,4.12280918164155,0.191511825409572,,,,,,,
,,0,0,1,0,0,1,0,Cyber2,25600,3.91442165630881,0.188621551927361,,,,,,,
,,0,0,1,1,0,0,0,Conventional+Cyber2,28000,4.20414882118736,0.184861855955553,,,,,,,
