"","prob_attack_comp","prob_attack_anto","prob_attack_cybe","prob_att_mr_ddos","prob_att_mr_social","portf_num","sprk","fd","ddos_prot","secconfig","malwprot","patchvul","ids","conventional","cyber1","cyber2","cost_controls","defender_cost","defender_utility"
"1",0,0.6,0,0,0,100,0,0,1,0,0,0,0,1,0,1,27000,0.02746438,0.998739333977786
"2",0,1,0,0,0,92,0,0,1,1,0,0,0,1,0,1,28000,0.02807812,0.998711075222819
"3",0,0.8,0,0,0,59,1,0,1,1,0,1,0,1,0,1,30200,0.03023038,0.9986119473443
"4",0,1,0,0,0,98,0,1,1,0,0,0,0,1,0,1,31800,0.03220362,0.998521023473078
"5",0,0.6,0,0,0,97,1,1,1,0,0,0,0,1,0,1,32400,0.03278192,0.998494368859128
"6",0,0.8,0,0,0,89,1,1,1,1,0,0,0,1,0,1,33400,0.03349114,0.998461675312008
"7",0,0.8,0,0,0,66,0,1,1,0,0,1,0,1,0,1,33400,0.03363002,0.998455272641559
"8",0,1,0,0,0,65,1,1,1,0,0,1,0,1,0,1,34000,0.03416058,0.99843081084931
"9",0,0.6,0,0,0,82,0,1,1,0,1,0,0,1,0,1,35800,0.03612984,0.998339992060474
"10",0,0.2,0,0,0,81,1,1,1,0,1,0,0,1,0,1,36400,0.03671682,0.998312913968747
