,prob_attack_comp,prob_attack_anto,prob_attack_cybe,prob_att_mr_ddos,prob_att_mr_social,portf_num,sprk,fd,ddos_prot,secconfig,malwprot,patchvul,ids,conventional,cyber1,cyber2,cost_controls,defender_cost,defender_utility
1,0,0.22,0,0,0,591,0,0,0,0,0,0,0,1,0,0,3000,0.003,0.999862664215964
2,0,0.23,0,0,0,590,1,0,0,0,0,0,0,1,0,0,3600,0.0036,0.999835186195325
3,0,0.28,0,0,0,583,0,0,0,1,0,0,0,1,0,0,4000,0.004,0.999816865502488
4,0,0.25,0,0,0,559,0,0,0,0,0,1,0,1,0,0,4600,0.0046,0.999789381444264
5,0,0.18,0,0,0,551,0,0,0,1,0,1,0,1,0,0,5600,0.0056,0.999743566628794
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,0,0,0,0,0,0,0,Conventional,3000,0.003,0.999862664215964,,,,,,,
,,1,0,0,0,0,0,0,Conventional,3600,0.0036,0.999835186195325,,,,,,,
,,0,0,0,1,0,0,0,Conventional,4000,0.004,0.999816865502488,,,,,,,
,,0,0,0,0,0,1,0,Conventional,4600,0.0046,0.999789381444264,,,,,,,
,,0,0,0,1,0,1,0,Conventional,5600,0.0056,0.999743566628794,,,,,,,
