"","prob_attack_comp","prob_attack_anto","prob_attack_cybe","prob_att_mr_ddos","prob_att_mr_social","portf_num","sprk","fd","ddos_prot","secconfig","malwprot","patchvul","ids","conventional","cyber1","cyber2","cost_controls","defender_cost","defender_utility"
"1",0,0.2,0,0,0,591,0,0,0,0,0,0,0,1,0,0,3000,0.003,0.999862664215964
"2",0,0.2,0,0,0,590,1,0,0,0,0,0,0,1,0,0,3600,0.0036,0.999835186195324
"3",0,0.4,0,0,0,583,0,0,0,1,0,0,0,1,0,0,4000,0.004,0.999816865502488
"4",0,0.2,0,0,0,559,0,0,0,0,0,1,0,1,0,0,4600,0.0046,0.999789381444264
"5",0,0.4,0,0,0,582,1,0,0,1,0,0,0,1,0,0,4600,0.0046,0.999789381444264
"6",0,0.2,0,0,0,558,1,0,0,0,0,1,0,1,0,0,5200,0.0052,0.999761893762853
"7",0,0.2,0,0,0,550,1,0,0,1,0,1,0,1,0,0,6200,0.0062,0.999716072907676
"8",0,0.2,0,0,0,685,0,1,0,0,0,1,0,0,0,0,6400,0.0066604,0.999694973526701
"9",0,0.4,0,0,0,575,0,0,0,0,1,0,0,1,0,0,7000,0.00700000000000001,0.999679408974718
"10",0,0.6,0,0,0,677,0,1,0,1,0,1,0,0,0,0,7400,0.0074558,0.999658516814357
