"","prob_attack_comp","prob_attack_anto","prob_attack_cybe","prob_att_mr_ddos","prob_att_mr_social","portf_num","sprk","fd","ddos_prot","secconfig","malwprot","patchvul","ids","conventional","cyber1","cyber2","cost_controls","defender_cost","defender_utility"
"1",0,0.4,0,0,0,7,1,0,0,0,1,1,1,1,0,1,51200,0.0513302,0.997637654532326
"2",0,0.2,0,0,0,17,1,1,0,0,0,1,1,1,0,1,52000,0.05208246,0.99760283517015
"3",0,0.4,0,0,0,13,1,0,0,1,0,1,1,1,0,1,48200,0.0577417,0.997338857619462
"4",0,0.8,0,0,0,9,1,0,1,1,0,1,1,1,0,1,60200,0.0602217,0.997225731327267
"5",0,0.4,0,0,0,8,0,0,0,0,1,1,1,1,0,1,50600,0.06018944,0.997225383496772
