,prob_attack_comp,prob_attack_anto,prob_attack_cybe,prob_att_mr_ddos,prob_att_mr_social,portf_num,sprk,fd,ddos_prot,secconfig,malwprot,patchvul,ids,conventional,cyber1,cyber2,cost_controls,defender_cost,defender_utility
1,0,0,0,0.73,0.09,197,0,0,1,0,1,0,0,0,0,1,28000,0.818798709445633,0.931293590677314
2,0,0,0,0.67,0.05,203,0,1,1,1,0,0,0,0,0,1,29800,0.573001386554542,0.91786628347566
3,0,0,0,0.68,0.08,59,1,0,1,1,0,1,0,1,0,1,30200,0.699068269507093,0.909457417453891
4,0,0,0,0.73,0.07,49,1,1,1,0,1,1,0,1,0,1,38000,0.716156159073852,0.908860715918081
5,0,0,0,0.73,0.05,172,1,0,1,1,0,1,0,0,0,1,27200,0.585672991194671,0.897873803818719
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,0,0,1,0,1,0,0,Cyber2,28000,0.818798709445633,0.931293590677314,,,,,,,
,,0,1,1,1,0,0,0,Cyber2,29800,0.573001386554542,0.91786628347566,,,,,,,
,,1,0,1,1,0,1,0,Conventional+Cyber2,30200,0.699068269507093,0.909457417453891,,,,,,,
,,1,1,1,0,1,1,0,Conventional+Cyber2,38000,0.716156159073852,0.908860715918081,,,,,,,
,,1,0,1,1,0,1,0,Cyber2,27200,0.585672991194671,0.897873803818719,,,,,,,
