"","prob_attack_comp","prob_attack_anto","prob_attack_cybe","prob_att_mr_ddos","prob_att_mr_social","portf_num","sprk","fd","ddos_prot","secconfig","malwprot","patchvul","ids","conventional","cyber1","cyber2","cost_controls","defender_cost","defender_utility"
"1",0,0.6,0.4,1,0,12,0,1,0,1,0,1,1,1,0,1,52400,3.5552345768393,0.716612981160825
"2",0.6,1,0.6,0.6,0,10,0,0,1,1,0,1,1,1,0,1,59600,1.69836907135605,0.688071578592225
"3",0.2,0.2,0.8,0.6,0,1,1,1,0,1,1,1,1,1,0,1,57000,5.01362209915889,0.496799057326545
"4",0.2,0,0.6,0.8,0,18,0,1,0,0,0,1,1,1,0,1,51400,5.20418218472666,0.409803830340455
"5",0.8,0.8,0.8,1,0,9,1,0,1,1,0,1,1,1,0,1,60200,5.27503812178456,0.357627964538004
