,prob_attack_comp,prob_attack_anto,prob_attack_cybe,prob_att_mr_ddos,prob_att_mr_social,portf_num,sprk,fd,ddos_prot,secconfig,malwprot,patchvul,ids,conventional,cyber1,cyber2,cost_controls,defender_cost,defender_utility
1,0.71,0,0,0,0,555,0,0,1,0,0,1,0,1,0,0,16600,0.0166,0.999238938774802
2,0.8,0,0,0,0,547,0,0,1,1,0,1,0,1,0,0,17600,0.0176,0.999193003013793
3,0.73,0,0,0,0,571,0,0,1,0,1,0,0,1,0,0,19000,0.019,0.999128675991314
4,0.71,0,0,0,0,546,1,0,1,1,0,1,0,1,0,0,18200,0.0191561244791,0.999121041136123
5,0.79,0,0,0,0,586,1,0,1,0,0,0,0,1,0,0,15600,0.019314444236755,0.999107141815368
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,0,0,1,0,0,1,0,Conventional,16600,0.0166,0.999238938774802,,,,
,,,,,0,0,1,1,0,1,0,Conventional,17600,0.0176,0.999193003013793,,,,
,,,,,0,0,1,0,1,0,0,Conventional,19000,0.019,0.999128675991314,,,,
,,,,,1,0,1,1,0,1,0,Conventional,18200,0.0191561244791,0.999121041136123,,,,
,,,,,1,0,1,0,0,0,0,Conventional,15600,0.019314444236755,0.999107141815368,,,,
