"","prob_attack_comp","prob_attack_anto","prob_attack_cybe","prob_att_mr_ddos","prob_att_mr_social","portf_num","sprk","fd","ddos_prot","secconfig","malwprot","patchvul","ids","conventional","cyber1","cyber2","cost_controls","defender_cost","defender_utility"
"1",0,0.4,0,0,0,17,1,1,0,0,0,1,1,1,0,1,52000,0.05209114,0.997602433374947
"2",0,0.8,0,0,0,3,1,0,0,1,1,1,1,1,0,1,52200,0.0522217,0.997596389634823
"3",0,0.4,0,0,0,19,1,0,0,0,0,1,1,1,0,1,47200,0.05681114,0.99738198968527
"4",0,0.6,0,0,0,15,1,0,1,0,0,1,1,1,0,1,59200,0.05926076,0.997270288307228
"5",0,0.8,0,0,0,10,0,0,1,1,0,1,1,1,0,1,59600,0.05961736,0.99725375453834
"6",0,0.8,0,0,0,9,1,0,1,1,0,1,1,1,0,1,60200,0.06021302,0.997226133846972
"7",0,0.6,0,0,0,6,0,1,0,0,1,1,1,1,0,1,55400,0.06499812,0.997002273141899
"8",0,0.6,0,0,0,5,1,1,0,0,1,1,1,1,0,1,56000,0.06556774,0.99697582556548
"9",0,0.4,0,0,0,2,0,1,0,1,1,1,1,1,0,1,56400,0.06592868,0.996959063409517
"10",0,0.4,0,0,0,13,1,0,0,1,0,1,1,1,0,1,48200,0.06725736,0.996896441341912
