"","prob_attack_comp","prob_attack_anto","prob_attack_cybe","prob_att_mr_ddos","prob_att_mr_social","portf_num","sprk","fd","ddos_prot","secconfig","malwprot","patchvul","ids","conventional","cyber1","cyber2","cost_controls","defender_cost","defender_utility"
"1",0,0,0,0.4,0,9,1,0,1,1,0,1,1,1,0,1,60200,0.470355301363637,0.975827551125345
"2",0,0,0,1,0,16,0,0,1,0,0,1,1,1,0,1,58600,1.00619490985449,0.9434088777344
"3",0,0,0,0.6,0,5,1,1,0,0,1,1,1,1,0,1,56000,1.45731865379102,0.912547962656069
"4",0,0,0,0.6,0.6,10,0,0,1,1,0,1,1,1,0,1,59600,1.9104241349027,0.881697977254148
"5",0,0,0,0.6,0,19,1,0,0,0,0,1,1,1,0,1,47200,1.90254013778686,0.87415636573102
