"","prob_attack_comp","prob_attack_anto","prob_attack_cybe","prob_att_mr_ddos","prob_att_mr_social","portf_num","sprk","fd","ddos_prot","secconfig","malwprot","patchvul","ids","conventional","cyber1","cyber2","cost_controls","defender_cost","defender_utility"
"1",0.6,0,0,0,0,16,0,0,1,0,0,1,1,1,0,1,58600,0.05868246,0.997297098463395
"2",0.8,0,0,0,0,15,1,0,1,0,0,1,1,1,0,1,59200,0.0592868,0.997269081011466
"3",0.4,0,0,0,0,9,1,0,1,1,0,1,1,1,0,1,60200,0.06021736,0.997225932589519
"4",0.8,0,0,0,0,10,0,0,1,1,0,1,1,1,0,1,59600,0.06915038,0.996809423871753
"5",0.2,0,0,0,0,20,0,0,0,0,0,1,1,1,0,1,46600,0.175054766470585,0.991478593802394
"6",0.2,0,0,0,0,14,0,0,0,1,0,1,1,1,0,1,47600,0.238931787141685,0.988061713529933
"7",0.4,0,0,0,0,13,1,0,0,1,0,1,1,1,0,1,48200,0.292346213363492,0.985737733349952
"8",0.2,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,57000,0.327530380208973,0.982924036202236
"9",0.4,0,0,0,0,19,1,0,0,0,0,1,1,1,0,1,47200,0.436631588050648,0.977749658413884
"10",0.4,0,0,0,0,3,1,0,0,1,1,1,1,1,0,1,52200,0.449999097173684,0.977311771490265
