"","prob_attack_comp","prob_attack_anto","prob_attack_cybe","prob_att_mr_ddos","prob_att_mr_social","portf_num","sprk","fd","ddos_prot","secconfig","malwprot","patchvul","ids","conventional","cyber1","cyber2","cost_controls","defender_cost","defender_utility"
"1",0.2,0,0,0,0,91,1,0,1,1,0,0,0,1,0,1,28600,0.02867812,0.998683445384948
"2",0.4,0,0,0,0,84,0,0,1,0,1,0,0,1,0,1,31000,0.03124738,0.99856509039679
"3",1,0,0,0,0,98,0,1,1,0,0,0,0,1,0,1,31800,0.03223834,0.998519423235483
"4",0.6,0,0,0,0,52,0,0,1,0,1,1,0,1,0,1,32600,0.0327736,0.998494752362948
"5",1,0,0,0,0,97,1,1,1,0,0,0,0,1,0,1,32400,0.03284268,0.998491568147124
"6",0.8,0,0,0,0,90,0,1,1,1,0,0,0,1,0,1,32800,0.0329302,0.998487533887893
"7",0.8,0,0,0,0,89,1,1,1,1,0,0,0,1,0,1,33400,0.03349982,0.998461275151543
"8",0.6,0,0,0,0,66,0,1,1,0,0,1,0,1,0,1,33400,0.03360398,0.998456473155384
"9",0.8,0,0,0,0,65,1,1,1,0,0,1,0,1,0,1,34000,0.03424304,0.998427008749813
"10",0.6,0,0,0,0,57,1,1,1,1,0,1,0,1,0,1,35000,0.03504774,0.998389901480071
