"","prob_attack_comp","prob_attack_anto","prob_attack_cybe","prob_att_mr_ddos","prob_att_mr_social","portf_num","sprk","fd","ddos_prot","secconfig","malwprot","patchvul","ids","conventional","cyber1","cyber2","cost_controls","defender_cost","defender_utility"
"1",0.8,0,0,0,0,16,0,0,1,0,0,1,1,1,0,1,58600,0.05871284,0.997295690112231
"2",0.8,0,0,0,0,15,1,0,1,0,0,1,1,1,0,1,59200,0.05930416,0.997268276123962
"3",0.8,0,0,0,0,9,1,0,1,1,0,1,1,1,0,1,60200,0.06025208,0.997224322503982
"4",1,0,0,0,0,10,0,0,1,1,0,1,1,1,0,1,59600,0.07864434,0.996366904300766
"5",0.2,0,0,0,0,12,0,1,0,1,0,1,1,1,0,1,52400,0.181308109899557,0.991177684932283
