,prob_attack_comp,prob_attack_anto,prob_attack_cybe,prob_att_mr_ddos,prob_att_mr_social,portf_num,sprk,fd,ddos_prot,secconfig,malwprot,patchvul,ids,conventional,cyber1,cyber2,cost_controls,defender_cost,defender_utility
1,0,0,0.42,0,0,143,0,1,0,1,0,0,1,0,0,1,47800,2.38551973642666,0.584235653853376
2,0,0,0.54,0,0,453,0,1,0,1,0,0,0,0,1,0,12800,2.96963084749555,0.555458402781267
3,0,0,0.54,0,0,419,0,0,1,1,0,1,0,0,1,0,21600,3.13364440523809,0.548831254772477
4,0,0,0.58,0,0,256,1,0,0,0,1,0,1,1,1,0,44600,3.32088112663989,0.547954675310881
5,0,0,0.52,0,0,10,0,0,1,1,0,1,1,1,0,1,59600,3.0082392766685,0.536161704754026
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,0,1,0,1,0,0,1,Cyber2,47800,2.38551973642666,0.584235653853376,,,,,,,
,,0,1,0,1,0,0,0,Cyber1,12800,2.96963084749555,0.555458402781267,,,,,,,
,,0,0,1,1,0,1,0,Cyber1,21600,3.13364440523809,0.548831254772477,,,,,,,
,,1,0,0,0,1,0,1,Conventional+Cyber1,44600,3.32088112663989,0.547954675310881,,,,,,,
,,0,0,1,1,0,1,1,Conventional+Cyber2,59600,3.0082392766685,0.536161704754026,,,,,,,
